Points,Player,Team,Opponent,Date,Score,MP,FGM,FGA,3PM,3PA,FTM,FTA 
60,Bernard King*,New York Knicks,New Jersey Nets,12/25/84,114-120,41,19,30,0,0,22,26
60,Larry Bird*,Boston Celtics,Atlanta Hawks,03/12/85,126-115,43,22,36,1,4,15,16
60,Tom Chambers,Phoenix Suns,Seattle SuperSonics,03/24/90,121-95,42,22,32,0,0,16,18
60,Allen Iverson*,Philadelphia 76ers,Orlando Magic,02/12/05,112-99,42,17,36,2,5,24,27
60,Gilbert Arenas,Washington Wizards,Los Angeles Lakers,12/17/06,147-141,49,17,32,5,12,21,27
60,Kobe Bryant*,Los Angeles Lakers,Memphis Grizzlies,03/22/07,121-119,45,20,37,3,7,17,18
60,Kobe Bryant*,Los Angeles Lakers,Utah Jazz,04/13/16,101-96,42,22,50,6,21,10,12
60,Klay Thompson,Golden State Warriors,Indiana Pacers,12/05/16,142-106,29,21,33,8,14,10,11
60,James Harden,Houston Rockets,Orlando Magic,01/30/18,114-107,46,19,30,5,14,17,18
60,Kemba Walker,Charlotte Hornets,Philadelphia 76ers,11/17/18,119-122,45,21,34,6,14,12,12
60,Damian Lillard,Portland Trail Blazers,Brooklyn Nets,11/08/19,115-119,40,19,33,7,16,15,15
60,James Harden,Houston Rockets,Atlanta Hawks,11/30/19,158-111,31,16,24,8,14,20,23
60,Bradley Beal,Washington Wizards,Philadelphia 76ers,01/06/21,136-141,38,20,35,7,10,13,15
60,Jayson Tatum,Boston Celtics,San Antonio Spurs,04/30/21,143-140,45,20,37,5,7,15,17
60,Karl-Anthony Towns,Minnesota Timberwolves,San Antonio Spurs,03/14/22,149-139,36,19,31,7,11,15,16
60,Kyrie Irving,Brooklyn Nets,Orlando Magic,03/15/22,150-108,35,20,31,8,12,12,13
60,Luka Doncic,Dallas Mavericks,New York Knicks,12/27/22,126-121,47,21,31,2,6,16,22
60,Damian Lillard,Portland Trail Blazers,Utah Jazz,01/25/23,134-124,40,21,29,9,15,9,10
60,Stephen Curry,Golden State Warriors,Atlanta Hawks,02/03/24,134-141,41,22,38,10,23,6,6
60,De'Aaron Fox,Sacramento Kings,Minnesota Timberwolves,11/15/24,126-130,44,22,35,6,10,10,11
